# MachinesNumber,Scale,Time,VirtualMachine
2,3,116.43,c3.large
4,3,87.29,c3.large
8,3,98.42,c3.large
16,3,58.86,c3.large
2,3,77.11,c3.medium
4,3,55.93,c3.medium
8,3,49.8,c3.medium
16,3,48.09,c3.medium
2,3,83.13,c3.xlarge
4,3,30.00173686,c3.xlarge
8,3,73.72,c3.xlarge
2,3,73.92,m1.large
4,3,61.87,m1.large
8,3,48.76,m1.large
16,3,46.6,m1.large
2,3,93.58,m1.medium
4,3,63.79,m1.medium
8,3,52.82,m1.medium
16,3,53.89,m1.medium
2,3,70.99,m1.xlarge
4,3,51.05,m1.xlarge
8,3,45.91,m1.xlarge
16,3,54.62,m1.xlarge
